WorkerID,Type,Agent,Grammar,Stimulus,StimulusNum,Harm,Other Harm,Harmer,Other Harmer,Blame,responsible,other,police stop,conservative,police trust,police honest,police listen,police rights,political party,age,race,gender
138,Target,protesters,Agentive,Protesters shoot cops during Friday confrontation; dash cam footage to be released early next week,13,Cops,,Protesters,,3,3,'The only reason I didnðððt say the shooting is all on the protesters is I donðððt know what the cops were doing when that happened. Did they have someone in a choke hold? Weðððre they assaulting protesters with night sticks,,,,,,,,,,
138,Target,security guard,Non-Agentive,Student shot and killed in controversial incident with campus security guard,44,Student,,Security guard,,1,1,'The only reason I donðððt assign all blame to the security guard is I donðððt know what is controversial about this issue. Was the student thrusting the guard or someone else with some other sort of harm or with a weapon? If so,,,,,,,,,,
138,Control,Control,Agentive,Teacher chokes nurse after violent dispute at local daycare,14,Nurse,,Teacher,,3,3,'Again,,,,,,,,,,
138,Control,Control,Non-Agentive,Chicago superintendent assaulted after car accident with nurse,25,Superintendent,,,The superintendent was harmed but it could have been someone other the nurse,1,1,'Still not clear the nurse did the harm based on the headline. Not even completely clear the nurse was involved in the traffic accident. The nurse may have been someone on scene who was helping with injured people and perhaps the superintendent was driving impaired,,,,,,,,,,
138,Target,police officer,Non-Agentive,Jacksonville man fatally shot during confrontation with police officer,8,Man,,Police officer,,0,0,,,,,,,,,,,
138,Target,teacher,Agentive,Criminal probe focuses on school where teacher shot cop after fight,16,Cop,,,The coo may have been shot to stop them from a threat to someone else,3,3,'I chose mostly the teacher in case the situation I described happen and the teacher shot the coo to protect someone else. '},,,,,,,,,,
138,Control,Control,Agentive,Waiter at Italian pizza shop sets restaurant owner on fire after shouting match,24,Owner,,Waiter,,4,4,'I canðððt think of any situation where the only option to protect yourself or someone else on fire is the right one,,,,,,,,,,
138,Target,police chief,Agentive,Police chief kills fisherman in New Years Day shooting incident,32,Fisherman,,Police chief,,2,2,'Iðððm going with the possibility that the fisherman may have also been armed and brandished a weapon,,,,,,,,,,
138,Control,Control,Non-Agentive,Drunk driver beaten after Cobb County crash with father,11,Driver,,,The headline doesnðððt say the beating was done by the father. Could be anyone else at the scene,3,3,'My previous caveats apply; the headline doesnðððt say who did the beating. Iðððm more inclined to suspect a drunk person of being violent but itðððs not certain. '},,,,,,,,,,
138,Target,state trooper,Agentive,State trooper kills club bouncer during shootout outside popular bar,5,Club bouncer,,,The shootout may have been between the trooper and some other outside the bar and the bouncer was collateral damage. '},1,1,,,,,,,,,,,
